State_Indicators/state,State_Indicators/number_of_infants_and_toddlers,State_Indicators/number_of_preschool_age_children,State_Indicators/number_of_children_under_age_6,State_Indicators/number_of_children_under_age_6_who_are_in_poverty_opm,State_Indicators/percentage_of_children_under_age_6_who_are_in_poverty_opm,State_Indicators/percentage_of_children_under_age_6_who_are_in_poverty_spm,State_Indicators/num_infants_toddlers_homeless,State_Indicators/num_preschool_children_homeless,State_Indicators/pct_first_graders_homeless,State_Indicators/percentage_of_children_under_age_6_who_have_experienced_two_or_more_adverse_childhood_experiences,State_Indicators/number_of_children_under_age_6_with_all_available_parents_in_the_workforce,State_Indicators/percentage_of_children_under_age_6_with_all_available_parents_in_the_workforce,State_Indicators/number_of_parents_reporting_job_changes_due_to_problems_with_child_care,State_Indicators/average_annual_child_care_tuition_for_two_children_in_center_based_care_infant_and_4_year_old,State_Indicators/average_annual_child_care_tuition_for_an_infant_in_center_based_care,State_Indicators/average_annual_child_care_tuition_for_a_4_year_old_in_center_based_care,State_Indicators/average_annual_child_care_tuition_for_two_children_in_family_based_care_infant_and_4_year_old,State_Indicators/average_annual_child_care_tuition_for_an_infant_in_family_based_care,State_Indicators/average_annual_child_care_tuition_for_a_4_year_old_in_family_based_care,State_Indicators/percentage_of_qualifying_low_income_children_under_age_6_who_receive_child_care_subsidies,State_Indicators/median_hourly_wage_of_child_care_workers,State_Indicators/median_hourly_wage_of_preschool_teachers,State_Indicators/avg_hr_wage_HS_classroom_teacher,State_Indicators/avg_hr_wage_EHS_classroom_teacher,State_Indicators/avg_hr_wage_HS_assistant_teacher,State_Indicators/average_employment_number_in_child_care_services,State_Indicators/number_of_3_year_olds_enrolled_in_public_preschool,State_Indicators/percentage_of_3_year_olds_served_by_public_preschool,State_Indicators/number_of_4_year_olds_enrolled_in_public_preschool,State_Indicators/percentage_of_4_year_olds_served_by_public_preschool,State_Indicators/percentage_of_population_in_a_child_care_desert,State_Indicators/state_rank,State_Indicators/number_of_infants_and_toddlers_rank,State_Indicators/number_of_preschool_age_children_rank,State_Indicators/number_of_children_under_age_6_rank,State_Indicators/number_of_children_under_age_6_who_are_in_poverty_opm_rank,State_Indicators/percentage_of_children_under_age_6_who_are_in_poverty_opm_rank,State_Indicators/percentage_of_children_under_age_6_who_are_in_poverty_spm_rank,State_Indicators/num_infants_toddlers_homeless_rank,State_Indicators/num_preschool_children_homeless_rank,State_Indicators/pct_first_graders_homeless_rank,State_Indicators/percentage_of_children_under_age_6_who_have_experienced_two_or_more_adverse_childhood_experiences_rank,State_Indicators/number_of_children_under_age_6_with_all_available_parents_in_the_workforce_rank,State_Indicators/percentage_of_children_under_age_6_with_all_available_parents_in_the_workforce_rank,State_Indicators/number_of_parents_reporting_job_changes_due_to_problems_with_child_care_rank,State_Indicators/average_annual_child_care_tuition_for_two_children_in_center_based_care_infant_and_4_year_old_rank,State_Indicators/average_annual_child_care_tuition_for_an_infant_in_center_based_care_rank,State_Indicators/average_annual_child_care_tuition_for_a_4_year_old_in_center_based_care_rank,State_Indicators/average_annual_child_care_tuition_for_two_children_in_family_based_care_infant_and_4_year_old_rank,State_Indicators/average_annual_child_care_tuition_for_an_infant_in_family_based_care_rank,State_Indicators/average_annual_child_care_tuition_for_a_4_year_old_in_family_based_care_rank,State_Indicators/percentage_of_qualifying_low_income_children_under_age_6_who_receive_child_care_subsidies_rank,State_Indicators/median_hourly_wage_of_child_care_workers_rank,State_Indicators/median_hourly_wage_of_preschool_teachers_rank,State_Indicators/avg_hr_wage_HS_classroom_teacher_rank,State_Indicators/avg_hr_wage_EHS_classroom_teacher_rank,State_Indicators/avg_hr_wage_HS_assistant_teacher_rank,State_Indicators/average_employment_number_in_child_care_services_rank,State_Indicators/number_of_3_year_olds_enrolled_in_public_preschool_rank,State_Indicators/percentage_of_3_year_olds_served_by_public_preschool_rank,State_Indicators/number_of_4_year_olds_enrolled_in_public_preschool_rank,State_Indicators/percentage_of_4_year_olds_served_by_public_preschool_rank,State_Indicators/percentage_of_population_in_a_child_care_desert_rank,basic_statistics/SOTS category,basic_statistics/Indicator,basic_statistics/Statistic,basic_statistics/Description,basic_statistics/Notes,text_description/Web category,text_description/Indicator,text_description/Description,text_description/Notes,State_Summary/GEO.id,State_Summary/GEO.id2,State_Summary/State,State_Summary/Abbrv,State_Summary/Number of infants and toddlers,State_Summary/Number of preschool-age children,State_Summary/Number of children under age 6,State_Summary/Number of children under age 6 who are in poverty (OPM),State_Summary/Percentage of children under age 6 who are in poverty (OPM),State_Summary/Percentage of children under age 6 who are in poverty (SPM),State_Summary/Number of infants and toddlers estimated to be experiencing homelessness,State_Summary/Number of preschool-age children estimated to be experiencing homelessness,State_Summary/Percentage of first graders estimated to be experiencing homelessness,State_Summary/Percentage of children under age 6 who have experienced two or more ACEs,State_Summary/Number of children under age 6 with all available parents in the workforce,State_Summary/Percentage of children under age 6 with all available parents in the workforce,State_Summary/Number of parents reporting job changes due to problems with child care,State_Summary/Average annual child care tuition for two children in center-based care,State_Summary/Average annual child care tuition for an infant in center-based care,State_Summary/Average annual child care tuition for a 4-year-old in center-based care,State_Summary/Average annual child care tuition for two children in family-based care,State_Summary/Average annual child care tuition for an infant in family-based care,State_Summary/Average annual child care tuition for a 4-year-old in family-based care,State_Summary/Qualifying low-income children under age 6 who receive child care subsidies,State_Summary/Median hourly wage of child care teachers,State_Summary/Median hourly wage of preschool teachers,State_Summary/Average hourly wage of HS preschool classroom teacher,State_Summary/Average hourly wage of EHS classroom teacher,State_Summary/Average hourly wage of HS preschool assistant teacher,State_Summary/Average employment number in child care services,State_Summary/Number of 3-year-olds enrolled in public preschool,State_Summary/Percentage of 3-year-olds served by public preschool,State_Summary/Number of 4-year-olds enrolled in public preschool,State_Summary/Percentage of 4-year-olds served by public preschool,State_Summary/Percentage of population in a child care desert
Alabama,172022,121900,351064,87320,25.4,n/a,3009,2133,1.8,8.1,n/a,n/a,38956,15080,7800,7280,14300,7280,7020,21.9,9.54,9.97,n/a,n/a,n/a,7441,0,0,20439,34,60.2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of infants and toddlers,11486025,Number of children who are under age 3.,"U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024). The authors used one-year estimates for every year except 2020 and five-year estimates for 2020 as one-year estimates were not available for that year.",Demographics and overview,Number of infants and toddlers,Number of children who are under age 3.,"U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024). The authors used one-year estimates for every year except 2020 and five-year estimates for 2020 as one-year estimates were not available for that year.",400000,1,Alabama,AL,172022,121900,351064,87320,25.4,n/a,3009,2133,1.8,8.1,n/a,n/a,38956,15080,7800,7280,14300,7280,7020,21.9,9.54,9.97,n/a,n/a,n/a,7441,0,0,20439,34,60.2
Alaska,30897,21368,63058,9690,15.7,n/a,631,437,2,9.5,n/a,n/a,8542,22794,12048,10746,18444,9510,8934,9.1,13.68,15.99,n/a,n/a,n/a,1630,281,3,1123,11,60.5,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of preschool-age children,8152206,Number of children who are ages 3 and 4.,"U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table?q=B09001:+POPULATION+UNDER+18+YEARS+BY+AGE&g=010XX00US$0400000&tid=ACSDT5Y2020.B09001&moe=false (last accessed October 2024). The authors used one-year estimates for every year except 2020 and five-year estimates for 2020 as one-year estimates were not available for that year.",Demographics and overview,Number of preschool-age children,Number of children who are ages 3 and 4.,"U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table?q=B09001:+POPULATION+UNDER+18+YEARS+BY+AGE&g=010XX00US$0400000&tid=ACSDT5Y2020.B09001&moe=false (last accessed October 2024). The authors used one-year estimates for every year except 2020 and five-year estimates for 2020 as one-year estimates were not available for that year.",400000,2,Alaska,AK,30897,21368,63058,9690,15.7,n/a,631,437,2,9.5,n/a,n/a,8542,22794,12048,10746,18444,9510,8934,9.1,13.68,15.99,n/a,n/a,n/a,1630,281,3,1123,11,60.5
Arizona,249141,181930,516537,107959,21.3,n/a,3733,2726,1.5,14.2,n/a,n/a,85798,20567,11848,8719,15245,7855,7390,16.3,12.64,14.39,n/a,n/a,n/a,9942,1712,2,2887,3,48.3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of children under age 6,23508802,Number of children who are under age 6.,"Center for American Progress calculation based on U.S. Census Bureau, ""B09001: Population Under 18 Years By Age, 1-year estimates,"" available at https://data.census.gov/table?q=B09001:+POPULATION+UNDER+18+YEARS+BY+AGE&g=010XX00US,$0400000&tid=ACSDT5Y2020.B09001&moe=false (last accessed October 2024). The authors calculated the sum of population estimates for children under age 3, children 3 and 4 years old, and children 5 years old to obtain an estimate of the under-age-6 population.",Demographics and overview,Number of children under age 6,Number of children who are under age 6.,"Center for American Progress calculation based on U.S. Census Bureau, ""B09001: Population Under 18 Years By Age, 1-year estimates,"" available at https://data.census.gov/table?q=B09001:+POPULATION+UNDER+18+YEARS+BY+AGE&g=010XX00US,$0400000&tid=ACSDT5Y2020.B09001&moe=false (last accessed October 2024). The authors calculated the sum of population estimates for children under age 3, children 3 and 4 years old, and children 5 years old to obtain an estimate of the under-age-6 population.",400000,4,Arizona,AZ,249141,181930,516537,107959,21.3,n/a,3733,2726,1.5,14.2,n/a,n/a,85798,20567,11848,8719,15245,7855,7390,16.3,12.64,14.39,n/a,n/a,n/a,9942,1712,2,2887,3,48.3
Arkansas,110346,78073,225564,56434,25.6,n/a,3313,2344,3,16.6,n/a,n/a,37338,14073,7498,6575,11189,5843,5346,14.8,10.53,14.61,n/a,n/a,n/a,8767,6651,17,12784,33,35.5,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of children under age 6 who are in poverty (OPM),4375879,"Number of children who are under age 6 and living in households below the federal poverty threshold, measured by the official poverty measure.","Center for American Progress calculation based on U.S. Census Bureau, ""B17006: Poverty Status in the Past 12 Months of Related Children Under 18 Years by Family Type By Age of Related Children Under 18 Years,"" available at https://data.census.gov/table?q=B17006&g=010XX00US,$0400000&tid=ACSDT5Y2020.B17006&moe=false (last accessed October 2024). The authors calculated the number of children under age 6 in poverty by summing the estimated number of children under 5 years old and children 5 years old in each household type below the poverty level.",Demographics and overview,Number of children under age 6 who are in poverty (OPM),"Number of children who are under age 6 and living in households below the federal poverty threshold, measured by the official poverty measure.","Center for American Progress calculation based on U.S. Census Bureau, ""B17006: Poverty Status in the Past 12 Months of Related Children Under 18 Years by Family Type By Age of Related Children Under 18 Years,"" available at https://data.census.gov/table?q=B17006&g=010XX00US,$0400000&tid=ACSDT5Y2020.B17006&moe=false (last accessed October 2024). The authors calculated the number of children under age 6 in poverty by summing the estimated number of children under 5 years old and children 5 years old in each household type below the poverty level.",400000,5,Arkansas,AR,110346,78073,225564,56434,25.6,n/a,3313,2344,3,16.6,n/a,n/a,37338,14073,7498,6575,11189,5843,5346,14.8,10.53,14.61,n/a,n/a,n/a,8767,6651,17,12784,33,35.5
California,1389638,1018083,2881047,480930,17,n/a,57883,42406,4.2,7,n/a,n/a,323936,29552,17384,12168,22693,11718,10975,15.8,14.92,17.51,n/a,n/a,n/a,53932,56238,12,182391,37,60.3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Percentage of children under age 6 who are in poverty (OPM),17.3,"Percentage of children who are under age 6 and living in households below the federal poverty threshold, measured by the official poverty measure.","Center for American Progress calculation based on data from the Annual Social and Economic Supplements (ASEC) of the Current Population Survey (CPS). See Sarah Flood and others, ""Integrated Public Use Microdata Series Current Population Survey: Version 12.0 (dataset)"" (Minneapolis: Minnesota Population Center, 2024), available at https://cps.ipums.org/cps/. The decision to use the Census Bureau's American Community Survey for state-level poverty estimates and the CPS ASEC for national-level poverty estimates was based on U.S. Census Bureau, ""Which Data Source to Use for Poverty,"" June 21, 2023, available at https://www.census.gov/topics/income-poverty/poverty/guidance/data-sources.html.",Demographics and overview,Percentage of children under age 6 who are in poverty (OPM),"Percentage of children who are under age 6 and living in households below the federal poverty threshold, measured by the official poverty measure.","Center for American Progress calculation based on U.S. Census Bureau ""B17006: Poverty Status in the Past 12 Months of Related Children Under 18 Years by Family Type By Age of Related Children Under 18 Years,"" available at https://data.census.gov/table?q=B17006&g=010XX00US,$0400000&tid=ACSDT5Y2020.B17006&moe=false (last accessed October 2024). The authors calculated the percentage of children under age 6 in poverty by dividing the estimated number of children under age 6 who were below the poverty level by the sum of the estimated number of children under age 6 who were below the poverty level and the estimated number of children under age 6 who were at or above the poverty level. National-level estimates calculated separately based on data from the Annual Social and Economic Supplements (ASEC) of the Current Population Survey (CPS). See Sarah Flood and others, ""Integrated Public Use Microdata Series Current Population Survey: Version 12.0 (dataset)"" (Minneapolis: Minnesota Population Center, 2024), available at https://cps.ipums.org/cps/. The decision to use the Census Bureau's American Community Survey for state-level poverty estimates and the CPS ASEC for national-level poverty estimates was based on U.S. Census Bureau, ""Which Data Source to Use for Poverty,"" June 21, 2023, available at https://www.census.gov/topics/income-poverty/poverty/guidance/data-sources.html.",400000,6,California,CA,1389638,1018083,2881047,480930,17,n/a,57883,42406,4.2,7,n/a,n/a,323936,29552,17384,12168,22693,11718,10975,15.8,14.92,17.51,n/a,n/a,n/a,53932,56238,12,182391,37,60.3
Colorado,192902,137834,398626,48098,12.2,n/a,4482,3203,2.3,6.1,n/a,n/a,62060,27792,15881,11911,20115,10587,9528,10.9,14.33,16.14,n/a,n/a,n/a,12340,6398,9,16538,24,50.7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Percentage of children under age 6 who are in poverty (SPM),10,"Percentage of children who are under age 6 and living in households below the federal poverty threshold, measured by the supplemental poverty measure.","Center for American Progress analysis based on data from the ASEC of the CPS. See Sarah Flood and others, “Integrated Public Use Microdata Series Current Population Survey: Version 12.0 (dataset)” (Minneapolis: Minnesota Population Center, 2024), available https://cps.ipums.org/cps/. The data for 2017 and beyond reflect an updated processing system from previous years. The supplemental poverty measure estimates for 2019 and beyond reflect an updated methodology. Due to changes in data collection, direct comparison between data years before and after 2017 or 2019 should be made with caution.",Demographics and overview,Percentage of children under age 6 who are in poverty (SPM),"Percentage of children who are under age 6 and living in households below the federal poverty threshold, measured by the supplemental poverty measure.","Center for American Progress analysis based on data from the ASEC of the CPS. See Sarah Flood and others, “Integrated Public Use Microdata Series Current Population Survey: Version 12.0 (dataset)” (Minneapolis: Minnesota Population Center, 2024), available https://cps.ipums.org/cps/. The data for 2017 and beyond reflect an updated processing system from previous years. The supplemental poverty measure estimates for 2019 and beyond reflect an updated methodology. Due to changes in data collection, direct comparison between data years before and after 2017 or 2019 should be made with caution.",400000,8,Colorado,CO,192902,137834,398626,48098,12.2,n/a,4482,3203,2.3,6.1,n/a,n/a,62060,27792,15881,11911,20115,10587,9528,10.9,14.33,16.14,n/a,n/a,n/a,12340,6398,9,16538,24,50.7
Connecticut,105389,77296,219063,30886,14.3,n/a,1063,780,1,10.3,n/a,n/a,32656,28860,15808,13052,22776,11752,11024,10.9,12.98,16.87,n/a,n/a,n/a,7374,5425,15,7986,21,44.3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of infants and toddlers estimated to be experiencing homelessness,317256,"Number of children under age 3 estimated to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors calculated the percentage of first graders identified as homeless in each state and the national level and applied that percentage to the estimated number of children under age 3. Data downloaded from U.S. Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024); U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024).",Demographics and overview,Number of infants and toddlers estimated to be experiencing homelessness,"Number of children under age 3 estimated to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors calculated the percentage of first graders identified as homeless in each state and the national level and applied that percentage to the estimated number of children under age 3. Data downloaded from U.S. Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024); U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024).",400000,9,Connecticut,CT,105389,77296,219063,30886,14.3,n/a,1063,780,1,10.3,n/a,n/a,32656,28860,15808,13052,22776,11752,11024,10.9,12.98,16.87,n/a,n/a,n/a,7374,5425,15,7986,21,44.3
Delaware,31746,23011,64343,12298,19.6,n/a,694,503,2.2,8.8,n/a,n/a,8222,21340,11761,9579,15530,8143,7387,16.6,10.19,13.57,n/a,n/a,n/a,3036,263,2,582,5,24.9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Number of preschool-age children estimated to be experiencing homelessness,225172,"Number of children ages 3 and 4 estimated to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors calculated the percentage of first graders identified as homeless in each state and the national level and applied that percentage to the estimated number of children ages 3 and 4. Data downloaded from Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024); U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024).",Demographics and overview,Number of preschool-age children estimated to be experiencing homelessness,"Number of children ages 3 and 4 estimated to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors calculated the percentage of first graders identified as homeless in each state and the national level and applied that percentage to the estimated number of children ages 3 and 4. Data downloaded from Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024); U.S. Census Bureau, ""B09001: Population Under 18 Years By Age,"" available at https://data.census.gov/table/ACSDT5Y2020.B09001?q=B09001:%20POPULATION%20UNDER%2018%20YEARS%20BY%20AGE&g=010XX00US$0400000&moe=false (last accessed October 2024).",400000,10,Delaware,DE,31746,23011,64343,12298,19.6,n/a,694,503,2.2,8.8,n/a,n/a,8222,21340,11761,9579,15530,8143,7387,16.6,10.19,13.57,n/a,n/a,n/a,3036,263,2,582,5,24.9
District of Columbia,26847,18064,52395,10196,19.7,n/a,2195,1477,8.2,9.7,n/a,n/a,7521,43592,24378,19214,29743,18425,11318,8.9,17.12,20.77,n/a,n/a,n/a,2774,6435,73,7356,84,26.7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Percentage of first graders estimated to be experiencing homelessness,2.8,"Percentage of first grade students in public school identified to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors divided the number of first graders identified as homeless each year by the total number of first graders enrolled. Data for each year downloaded from Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Institute of Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024).",Demographics and overview,Percentage of first graders estimated to be experiencing homelessness,"Percentage of first grade students in public school identified to be experiencing homelessness, as defined in the education subtitle of the McKinney-Vento Homeless Assistance Act.","Center for American Progress analysis based on the method developed by SchoolHouse Connection in partnership with Poverty Solutions at the University of Michigan. The authors divided the number of first graders identified as homeless each year by the total number of first graders enrolled. Data for each year downloaded from Department of Education, ""EdData Express Data Download Tool (dataset),"" available at https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=age_grade%3AGrade%201&f%5B1%5D=school_year%3A2022-2023 (last accessed October 2024); Institute of Education Science National Center for Education Statistics, ""Enrollment in public elementary and secondary schools, by level, grade, and state or jurisdiction,"" available at https://nces.ed.gov/programs/digest/d23/tables/dt23_203.40.asp (last accessed October 2024).",400000,11,District of Columbia,DC,26847,18064,52395,10196,19.7,n/a,2195,1477,8.2,9.7,n/a,n/a,7521,43592,24378,19214,29743,18425,11318,8.9,17.12,20.77,n/a,n/a,n/a,2774,6435,73,7356,84,26.7
Florida,667012,465752,1350837,267104,20.1,n/a,22625,15798,3.4,10.4,n/a,n/a,178664,16731,9545,7186,14815,8182,6633,19.7,11.2,12.38,n/a,n/a,n/a,46492,0,0,166726,72,37.7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Demographics and overview,Percentage of children under age 6 who have experienced two or more ACEs,9.1,Percentage of children under age 6 who have experienced two or more adverse childhood experiences (ACEs).,"Child and Adolescent Health Measurement Initiative, ""National Survey of Children's Health: Interactive Data Query,"" available at https://www.childhealthdata.org/browse/survey (last accessed October 2024). Authors obtained data exerpts for ""Adverse Childhood Experiences"" by using two-year combined estimates and selecting for ""All States"" and ""Age in 3 groups."" Responses were self-reported by survey respondents, in response to a question about a list of events that may have happened during the child’s life, with the option to skip any question they did not want to answer. Due to some changes in data reporting and the methods for calculating this indicator, the authors caution against directly comparing estimates across years.",Demographics and overview,Percentage of children under age 6 who have experienced two or more ACEs,Percentage of children under age 6 who have experienced two or more adverse childhood experiences (ACEs).,"Child and Adolescent Health Measurement Initiative, ""National Survey of Children's Health: Interactive Data Query,"" available at https://www.childhealthdata.org/browse/survey (last accessed October 2024). Authors obtained data exerpts for ""Adverse Childhood Experiences"" by using two-year combined estimates and selecting for ""All States"" and ""Age in 3 groups."" Responses were self-reported by survey respondents, in response to a question about a list of events that may have happened during the child’s life, with the option to skip any question they did not want to answer. Due to some changes in data reporting and the methods for calculating this indicator, the authors caution against directly comparing estimates across years.",400000,12,Florida,FL,667012,465752,1350837,267104,20.1,n/a,22625,15798,3.4,10.4,n/a,n/a,178664,16731,9545,7186,14815,8182,6633,19.7,11.2,12.38,n/a,n/a,n/a,46492,0,0,166726,72,37.7
